Clock,Servers,QueueSize,Processed,Blocked
[Cycle 118] Servers: 10, Queue: 241, Processed: 69, Blocked: 0
[Cycle 119] Servers: 10, Queue: 239, Processed: 72, Blocked: 0
[Cycle 120] Servers: 10, Queue: 239, Processed: 73, Blocked: 0
[Cycle 121] Servers: 10, Queue: 240, Processed: 73, Blocked: 0
[Cycle 122] Servers: 10, Queue: 241, Processed: 73, Blocked: 0
[Cycle 123] Servers: 10, Queue: 241, Processed: 74, Blocked: 0
[Cycle 124] Servers: 10, Queue: 242, Processed: 74, Blocked: 0
[Cycle 125] Servers: 10, Queue: 242, Processed: 75, Blocked: 0
[Cycle 126] Servers: 10, Queue: 243, Processed: 75, Blocked: 0
[Cycle 127] Servers: 10, Queue: 244, Processed: 75, Blocked: 0
[Cycle 128] Servers: 10, Queue: 245, Processed: 75, Blocked: 0
[Cycle 129] Servers: 10, Queue: 244, Processed: 77, Blocked: 0
[Cycle 130] Servers: 10, Queue: 244, Processed: 78, Blocked: 0
[Cycle 131] Servers: 10, Queue: 245, Processed: 78, Blocked: 0
[Cycle 132] Servers: 10, Queue: 246, Processed: 78, Blocked: 0
[Cycle 133] Servers: 10, Queue: 247, Processed: 78, Blocked: 0
[Cycle 134] Servers: 10, Queue: 248, Processed: 78, Blocked: 0
[Cycle 135] Servers: 10, Queue: 249, Processed: 78, Blocked: 0
[Cycle 136] Servers: 10, Queue: 250, Processed: 78, Blocked: 0
[Cycle 137] Servers: 10, Queue: 250, Processed: 79, Blocked: 0
[Cycle 138] Servers: 11, Queue: 251, Processed: 79, Blocked: 0
[Cycle 139] Servers: 11, Queue: 251, Processed: 80, Blocked: 0
[Cycle 140] Servers: 11, Queue: 248, Processed: 84, Blocked: 0
[Cycle 141] Servers: 11, Queue: 249, Processed: 84, Blocked: 0
[Cycle 142] Servers: 11, Queue: 250, Processed: 84, Blocked: 0
[Cycle 143] Servers: 11, Queue: 251, Processed: 84, Blocked: 0
[Cycle 144] Servers: 11, Queue: 251, Processed: 85, Blocked: 0
[Cycle 145] Servers: 11, Queue: 250, Processed: 86, Blocked: 0
[Cycle 146] Servers: 11, Queue: 251, Processed: 86, Blocked: 0
[Cycle 147] Servers: 11, Queue: 252, Processed: 86, Blocked: 0
[Cycle 148] Servers: 11, Queue: 253, Processed: 86, Blocked: 0
[Cycle 149] Servers: 11, Queue: 253, Processed: 87, Blocked: 0
[Cycle 150] Servers: 11, Queue: 251, Processed: 90, Blocked: 0
[Cycle 151] Servers: 11, Queue: 251, Processed: 91, Blocked: 0
[Cycle 152] Servers: 11, Queue: 251, Processed: 92, Blocked: 0
[Cycle 153] Servers: 11, Queue: 252, Processed: 92, Blocked: 0
[Cycle 154] Servers: 11, Queue: 253, Processed: 92, Blocked: 0
[Cycle 155] Servers: 11, Queue: 253, Processed: 93, Blocked: 0
[Cycle 156] Servers: 11, Queue: 253, Processed: 93, Blocked: 0
[Cycle 157] Servers: 11, Queue: 251, Processed: 95, Blocked: 0
[Cycle 158] Servers: 11, Queue: 252, Processed: 95, Blocked: 0
[Cycle 159] Servers: 11, Queue: 253, Processed: 95, Blocked: 0
[Cycle 160] Servers: 11, Queue: 252, Processed: 97, Blocked: 0
[Cycle 161] Servers: 11, Queue: 253, Processed: 97, Blocked: 0
[Cycle 162] Servers: 11, Queue: 252, Processed: 99, Blocked: 0
[Cycle 163] Servers: 11, Queue: 253, Processed: 99, Blocked: 0
[Cycle 164] Servers: 11, Queue: 253, Processed: 100, Blocked: 0
[Cycle 165] Servers: 11, Queue: 254, Processed: 100, Blocked: 0
[Cycle 166] Servers: 11, Queue: 255, Processed: 100, Blocked: 0
[Cycle 167] Servers: 11, Queue: 256, Processed: 100, Blocked: 0
[Cycle 168] Servers: 11, Queue: 256, Processed: 101, Blocked: 0
[Cycle 169] Servers: 11, Queue: 257, Processed: 101, Blocked: 0
[Cycle 170] Servers: 11, Queue: 258, Processed: 101, Blocked: 0
[Cycle 171] Servers: 11, Queue: 259, Processed: 101, Blocked: 0
[Cycle 172] Servers: 11, Queue: 258, Processed: 103, Blocked: 0
[Cycle 173] Servers: 11, Queue: 257, Processed: 105, Blocked: 0
[Cycle 174] Servers: 11, Queue: 257, Processed: 106, Blocked: 0
[Cycle 175] Servers: 11, Queue: 258, Processed: 106, Blocked: 0
[Cycle 176] Servers: 11, Queue: 258, Processed: 106, Blocked: 0
[Cycle 177] Servers: 11, Queue: 259, Processed: 106, Blocked: 0
[Cycle 178] Servers: 11, Queue: 260, Processed: 106, Blocked: 0
[Cycle 179] Servers: 11, Queue: 260, Processed: 107, Blocked: 0
[Cycle 180] Servers: 11, Queue: 260, Processed: 108, Blocked: 0
[Cycle 181] Servers: 11, Queue: 261, Processed: 108, Blocked: 0
[Cycle 182] Servers: 11, Queue: 262, Processed: 108, Blocked: 0
[Cycle 183] Servers: 11, Queue: 263, Processed: 108, Blocked: 0
[Cycle 184] Servers: 11, Queue: 263, Processed: 109, Blocked: 0
[Cycle 185] Servers: 11, Queue: 262, Processed: 111, Blocked: 0
[Cycle 186] Servers: 11, Queue: 262, Processed: 112, Blocked: 0
[Cycle 187] Servers: 11, Queue: 262, Processed: 113, Blocked: 0
[Cycle 188] Servers: 11, Queue: 263, Processed: 113, Blocked: 0
[Cycle 189] Servers: 11, Queue: 264, Processed: 113, Blocked: 0
[Cycle 190] Servers: 11, Queue: 264, Processed: 114, Blocked: 0
[Cycle 191] Servers: 11, Queue: 263, Processed: 115, Blocked: 0
[Cycle 192] Servers: 11, Queue: 264, Processed: 115, Blocked: 0
[Cycle 193] Servers: 11, Queue: 265, Processed: 115, Blocked: 0
[Cycle 194] Servers: 11, Queue: 264, Processed: 116, Blocked: 0
[Cycle 195] Servers: 11, Queue: 262, Processed: 119, Blocked: 0
[Cycle 196] Servers: 11, Queue: 262, Processed: 120, Blocked: 0
[Cycle 197] Servers: 11, Queue: 262, Processed: 121, Blocked: 0
[Cycle 198] Servers: 11, Queue: 261, Processed: 122, Blocked: 0
[Cycle 199] Servers: 11, Queue: 262, Processed: 122, Blocked: 0
[Cycle 200] Servers: 11, Queue: 263, Processed: 122, Blocked: 0
[Cycle 201] Servers: 11, Queue: 264, Processed: 122, Blocked: 0
[Cycle 202] Servers: 11, Queue: 264, Processed: 123, Blocked: 0
[Cycle 203] Servers: 11, Queue: 263, Processed: 124, Blocked: 0
[Cycle 204] Servers: 11, Queue: 264, Processed: 124, Blocked: 0
[Cycle 205] Servers: 11, Queue: 265, Processed: 124, Blocked: 0
[Cycle 206] Servers: 11, Queue: 265, Processed: 125, Blocked: 0
[Cycle 207] Servers: 11, Queue: 264, Processed: 126, Blocked: 0
[Cycle 208] Servers: 11, Queue: 264, Processed: 127, Blocked: 0
[Cycle 209] Servers: 11, Queue: 262, Processed: 130, Blocked: 0
[Cycle 210] Servers: 11, Queue: 263, Processed: 130, Blocked: 0
[Cycle 211] Servers: 11, Queue: 263, Processed: 131, Blocked: 0
[Cycle 212] Servers: 11, Queue: 264, Processed: 131, Blocked: 0
[Cycle 213] Servers: 11, Queue: 264, Processed: 132, Blocked: 0
[Cycle 214] Servers: 11, Queue: 265, Processed: 132, Blocked: 0
[Cycle 215] Servers: 11, Queue: 266, Processed: 132, Blocked: 0
[Cycle 216] Servers: 11, Queue: 267, Processed: 132, Blocked: 0
[Cycle 217] Servers: 11, Queue: 268, Processed: 132, Blocked: 0
[Cycle 218] Servers: 11, Queue: 269, Processed: 132, Blocked: 0
[Cycle 219] Servers: 11, Queue: 269, Processed: 133, Blocked: 0
[Cycle 220] Servers: 11, Queue: 268, Processed: 135, Blocked: 0
[Cycle 221] Servers: 11, Queue: 268, Processed: 136, Blocked: 0
[Cycle 222] Servers: 11, Queue: 269, Processed: 136, Blocked: 0
[Cycle 223] Servers: 11, Queue: 270, Processed: 136, Blocked: 0
[Cycle 224] Servers: 11, Queue: 271, Processed: 136, Blocked: 0
[Cycle 225] Servers: 11, Queue: 272, Processed: 136, Blocked: 0
[Cycle 226] Servers: 11, Queue: 273, Processed: 136, Blocked: 0
[Cycle 227] Servers: 11, Queue: 274, Processed: 136, Blocked: 0
[Cycle 228] Servers: 11, Queue: 275, Processed: 136, Blocked: 0
[Cycle 229] Servers: 12, Queue: 276, Processed: 136, Blocked: 0
[Cycle 230] Servers: 12, Queue: 276, Processed: 137, Blocked: 0
[Cycle 231] Servers: 12, Queue: 275, Processed: 139, Blocked: 0
[Cycle 232] Servers: 12, Queue: 276, Processed: 139, Blocked: 0
[Cycle 233] Servers: 12, Queue: 275, Processed: 141, Blocked: 0
[Cycle 234] Servers: 12, Queue: 274, Processed: 143, Blocked: 0
[Cycle 235] Servers: 12, Queue: 275, Processed: 143, Blocked: 0
[Cycle 236] Servers: 12, Queue: 275, Processed: 144, Blocked: 0
[Cycle 237] Servers: 12, Queue: 275, Processed: 145, Blocked: 0
[Cycle 238] Servers: 12, Queue: 276, Processed: 145, Blocked: 0
[Cycle 239] Servers: 12, Queue: 277, Processed: 145, Blocked: 0
[Cycle 240] Servers: 12, Queue: 278, Processed: 145, Blocked: 0
[Cycle 241] Servers: 12, Queue: 277, Processed: 147, Blocked: 0
[Cycle 242] Servers: 12, Queue: 277, Processed: 148, Blocked: 0
[Cycle 243] Servers: 12, Queue: 277, Processed: 149, Blocked: 0
[Cycle 244] Servers: 12, Queue: 275, Processed: 152, Blocked: 0
[Cycle 245] Servers: 12, Queue: 276, Processed: 152, Blocked: 0
[Cycle 246] Servers: 12, Queue: 277, Processed: 152, Blocked: 0
[Cycle 247] Servers: 12, Queue: 277, Processed: 153, Blocked: 0
[Cycle 248] Servers: 12, Queue: 278, Processed: 153, Blocked: 0
[Cycle 249] Servers: 12, Queue: 278, Processed: 154, Blocked: 0
[Cycle 250] Servers: 12, Queue: 279, Processed: 154, Blocked: 0
[Cycle 251] Servers: 12, Queue: 278, Processed: 156, Blocked: 0
[Cycle 252] Servers: 12, Queue: 278, Processed: 157, Blocked: 0
[Cycle 253] Servers: 12, Queue: 278, Processed: 158, Blocked: 0
[Cycle 254] Servers: 12, Queue: 277, Processed: 160, Blocked: 0
[Cycle 255] Servers: 12, Queue: 278, Processed: 160, Blocked: 0
[Cycle 256] Servers: 12, Queue: 279, Processed: 160, Blocked: 0
[Cycle 257] Servers: 12, Queue: 279, Processed: 161, Blocked: 0
[Cycle 258] Servers: 12, Queue: 280, Processed: 161, Blocked: 0
[Cycle 259] Servers: 12, Queue: 280, Processed: 162, Blocked: 0
[Cycle 260] Servers: 12, Queue: 281, Processed: 162, Blocked: 0
[Cycle 261] Servers: 12, Queue: 282, Processed: 162, Blocked: 0
[Cycle 262] Servers: 12, Queue: 282, Processed: 163, Blocked: 0
[Cycle 263] Servers: 12, Queue: 283, Processed: 163, Blocked: 0
[Cycle 264] Servers: 12, Queue: 282, Processed: 165, Blocked: 0
[Cycle 265] Servers: 12, Queue: 283, Processed: 165, Blocked: 0
[Cycle 266] Servers: 12, Queue: 282, Processed: 167, Blocked: 0
[Cycle 267] Servers: 12, Queue: 283, Processed: 167, Blocked: 0
